,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,total_ex,mean,normalized_mean,normalized_theta
60,A12J4IRF5Z06BT,10,seqNoFeedback,0,0.3,1,9,A,6,14,,,,3.1,yes,20,0.3,0.3,0.3
61,A12J4IRF5Z06BT,10,seqNoFeedback,1,0.3,1,9,A,3,7,0.25,0.04999999999999999,0.4,3.1,yes,10,0.3,0.3,0.3
62,A12J4IRF5Z06BT,11,seqFeedback,0,0.3,9,1,B,3,7,0.60,,,3.1,yes,10,0.3,0.7,0.7
63,A12J4IRF5Z06BT,11,seqFeedback,1,0.3,9,1,B,5,15,0.42,0.12,0.0,3.1,yes,20,0.25,0.75,0.7
64,A12J4IRF5Z06BT,12,nonSeqFull,0,0.7,1,9,A,8,2,0.45,0.24999999999999994,0.0,3.1,yes,10,0.8,0.8,0.7
65,A12J4IRF5Z06BT,13,nonSeqPartial,0,0.7,9,1,B,14,6,0.77,0.07000000000000006,0.5,3.1,yes,20,0.7,0.30000000000000004,0.3
66,A12J4IRF5Z06BT,14,seqFeedback,0,0.7,1,9,A,14,6,0.50,,,3.1,yes,20,0.7,0.7,0.7
67,A12J4IRF5Z06BT,14,seqFeedback,1,0.7,1,9,A,14,6,0.58,0.12,0.0,3.1,yes,20,0.7,0.7,0.7
68,A12J4IRF5Z06BT,15,nonSeqFull,0,0.3,9,1,B,1,10,0.48,0.18,0.0,3.1,yes,11,0.09090909090909091,0.9090909090909091,0.7
69,A1B1DPJRVIAV3L,0,seqNoFeedback,0,0.3,9,1,B,10,60,,,,0.25,no,70,0.14285714285714285,0.8571428571428572,0.7
70,A1B1DPJRVIAV3L,0,seqNoFeedback,1,0.3,9,1,B,10,60,0.29,0.010000000000000009,0.0,0.25,no,70,0.14285714285714285,0.8571428571428572,0.7
71,A1B1DPJRVIAV3L,1,nonSeqFull,0,0.7,1,9,A,70,0,0.89,0.19000000000000006,0.0,0.25,no,70,1.0,1.0,0.7
72,A1B1DPJRVIAV3L,2,nonSeqFull,0,0.3,9,1,B,10,60,0.24,0.06,0.0,0.25,no,70,0.14285714285714285,0.8571428571428572,0.7
73,A1B1DPJRVIAV3L,3,nonSeqFull,0,0.3,1,9,A,35,35,0.45,0.15000000000000002,0.0,0.25,no,70,0.5,0.5,0.3
74,A1B1DPJRVIAV3L,4,seqFeedback,0,0.3,1,9,A,30,40,0.39,,,0.25,no,70,0.42857142857142855,0.42857142857142855,0.3
75,A1B1DPJRVIAV3L,4,seqFeedback,1,0.3,1,9,A,30,40,0.41,0.10999999999999999,0.0,0.25,no,70,0.42857142857142855,0.42857142857142855,0.3
76,A1B1DPJRVIAV3L,5,seqNoFeedback,0,0.3,1,9,A,30,40,,,,0.25,no,70,0.42857142857142855,0.42857142857142855,0.3
77,A1B1DPJRVIAV3L,5,seqNoFeedback,1,0.3,1,9,A,10,60,0.27,0.02999999999999997,0.0,0.25,no,70,0.14285714285714285,0.14285714285714285,0.3
78,A1B1DPJRVIAV3L,6,seqFeedback,0,0.7,9,1,B,7,63,0.20,,,0.25,no,70,0.1,0.9,0.3
79,A1B1DPJRVIAV3L,6,seqFeedback,1,0.7,9,1,B,20,50,0.24,0.45999999999999996,0.0,0.25,no,70,0.2857142857142857,0.7142857142857143,0.3
80,A1B1DPJRVIAV3L,7,nonSeqPartial,0,0.7,9,1,B,70,0,0.99,0.29000000000000004,0.0,0.25,no,70,1.0,0.0,0.3
81,A1B1DPJRVIAV3L,8,nonSeqPartial,0,0.7,1,9,A,40,30,0.51,0.18999999999999995,0.0,0.25,no,70,0.5714285714285714,0.5714285714285714,0.7
82,A1B1DPJRVIAV3L,9,nonSeqFull,0,0.7,9,1,B,60,10,0.86,0.16000000000000003,0.0,0.25,no,70,0.8571428571428571,0.1428571428571429,0.3
83,A1B1DPJRVIAV3L,10,seqNoFeedback,0,0.7,1,9,A,50,20,,,,0.25,no,70,0.7142857142857143,0.7142857142857143,0.7
84,A1B1DPJRVIAV3L,10,seqNoFeedback,1,0.7,1,9,A,50,20,0.67,0.029999999999999916,0.0,0.25,no,70,0.7142857142857143,0.7142857142857143,0.7
85,A1B1DPJRVIAV3L,11,nonSeqPartial,0,0.3,9,1,B,20,40,0.41,0.10999999999999999,0.0,0.25,no,60,0.3333333333333333,0.6666666666666667,0.7
86,A1B1DPJRVIAV3L,12,seqFeedback,0,0.3,9,1,B,15,45,0.34,,,0.25,no,60,0.25,0.75,0.7
87,A1B1DPJRVIAV3L,12,seqFeedback,1,0.3,9,1,B,20,40,0.34,0.040000000000000036,0.0,0.25,no,60,0.3333333333333333,0.6666666666666667,0.7
88,A1B1DPJRVIAV3L,13,nonSeqPartial,0,0.3,1,9,A,20,25,0.38,0.08000000000000002,0.25,0.25,no,45,0.4444444444444444,0.4444444444444444,0.3
89,A1B1DPJRVIAV3L,14,seqFeedback,0,0.7,1,9,A,39,22,0.56,,,0.25,no,61,0.639344262295082,0.639344262295082,0.7
90,A1B1DPJRVIAV3L,14,seqFeedback,1,0.7,1,9,A,60,7,0.72,0.020000000000000018,0.0,0.25,no,67,0.8955223880597015,0.8955223880597015,0.7
