subject_id,alpha,costWeight,block_type,trial_num,theta,student_class,heads,tails
0,2,0.01,nonSeqFull,0,0.3,A,5,5
0,2,0.01,nonSeqFull,0,0.3,B,6,26
0,2,0.01,nonSeqFull,0,0.7,A,18,1
0,2,0.01,nonSeqFull,0,0.7,B,35,18
0,2,0.01,nonSeqPartial,0,0.3,A,23,42
0,2,0.01,nonSeqPartial,0,0.3,B,17,46
0,2,0.01,nonSeqPartial,0,0.7,A,18,3
0,2,0.01,nonSeqPartial,0,0.7,B,37,17
0,2,0.01,seqNoFeedback,0,0.3,A,1,16
0,2,0.01,seqNoFeedback,1,0.3,A,3,3
0,2,0.01,seqNoFeedback,0,0.3,B,19,50
0,2,0.01,seqNoFeedback,1,0.3,B,3,0
0,2,0.01,seqNoFeedback,0,0.7,A,33,17
0,2,0.01,seqNoFeedback,1,0.7,A,2,3
0,2,0.01,seqNoFeedback,0,0.7,B,8,7
0,2,0.01,seqNoFeedback,1,0.7,B,51,3
0,2,0.01,seqFeedback,0,0.3,A,23,33
0,2,0.01,seqFeedback,1,0.3,A,2,18
0,2,0.01,seqFeedback,0,0.3,B,9,43
0,2,0.01,seqFeedback,1,0.3,B,5,16
0,2,0.01,seqFeedback,0,0.7,A,36,18
0,2,0.01,seqFeedback,1,0.7,A,42,8
0,2,0.01,seqFeedback,0,0.7,B,50,20
0,2,0.01,seqFeedback,1,0.7,B,28,19
1,2,0.01,nonSeqFull,0,0.3,A,4,2
1,2,0.01,nonSeqFull,0,0.3,B,8,25
1,2,0.01,nonSeqFull,0,0.7,A,21,2
1,2,0.01,nonSeqFull,0,0.7,B,41,22
1,2,0.01,nonSeqPartial,0,0.3,A,1,44
1,2,0.01,nonSeqPartial,0,0.3,B,14,51
1,2,0.01,nonSeqPartial,0,0.7,A,49,13
1,2,0.01,nonSeqPartial,0,0.7,B,28,17
1,2,0.01,seqNoFeedback,0,0.3,A,16,40
1,2,0.01,seqNoFeedback,1,0.3,A,4,4
1,2,0.01,seqNoFeedback,0,0.3,B,2,3
1,2,0.01,seqNoFeedback,1,0.3,B,0,19
1,2,0.01,seqNoFeedback,0,0.7,A,7,5
1,2,0.01,seqNoFeedback,1,0.7,A,4,4
1,2,0.01,seqNoFeedback,0,0.7,B,3,7
1,2,0.01,seqNoFeedback,1,0.7,B,59,8
1,2,0.01,seqFeedback,0,0.3,A,27,30
1,2,0.01,seqFeedback,1,0.3,A,1,11
1,2,0.01,seqFeedback,0,0.3,B,13,54
1,2,0.01,seqFeedback,1,0.3,B,6,14
1,2,0.01,seqFeedback,0,0.7,A,20,9
1,2,0.01,seqFeedback,1,0.7,A,13,4
1,2,0.01,seqFeedback,0,0.7,B,31,18
1,2,0.01,seqFeedback,1,0.7,B,18,5
2,2,0.01,nonSeqFull,0,0.3,A,3,5
2,2,0.01,nonSeqFull,0,0.3,B,5,32
2,2,0.01,nonSeqFull,0,0.7,A,42,8
