alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
1,0.07,nonSeqFull,0,0.3,A,9,9
1,0.07,nonSeqFull,0,0.7,B,3,5
1,0.07,nonSeqPartial,0,0.3,B,2,17
1,0.07,nonSeqPartial,0,0.7,B,3,7
1,0.07,seqNoFeedback,0,0.3,A,5,7
1,0.07,seqNoFeedback,1,0.3,A,4,2
1,0.07,seqNoFeedback,0,0.7,B,6,5
1,0.07,seqNoFeedback,1,0.7,B,0,2
1,0.07,seqFeedback,0,0.3,A,6,9
1,0.07,seqFeedback,1,0.3,A,6,13
1,0.07,seqFeedback,0,0.7,A,21,5
1,0.07,seqFeedback,1,0.7,A,22,4
1,0.07,nonSeqFull,0,0.3,B,3,23
1,0.07,nonSeqFull,0,0.7,A,22,1
1,0.07,nonSeqPartial,0,0.3,A,4,0
1,0.07,nonSeqPartial,0,0.7,B,17,9
1,0.07,seqNoFeedback,0,0.3,B,4,4
1,0.07,seqNoFeedback,1,0.3,B,6,17
1,0.07,seqNoFeedback,0,0.7,A,25,19
1,0.07,seqNoFeedback,1,0.7,A,15,5
1,0.07,seqFeedback,0,0.3,A,7,5
1,0.07,seqFeedback,1,0.3,A,12,22
1,0.07,seqFeedback,0,0.7,A,18,2
1,0.07,seqFeedback,1,0.7,A,30,4
1,0.07,nonSeqFull,0,0.3,A,2,3
1,0.07,nonSeqFull,0,0.7,A,13,2
1,0.07,nonSeqPartial,0,0.3,B,2,0
1,0.07,nonSeqPartial,0,0.7,B,19,1
1,0.07,seqNoFeedback,0,0.3,B,1,22
1,0.07,seqNoFeedback,1,0.3,B,6,9
1,0.07,seqNoFeedback,0,0.7,A,5,6
1,0.07,seqNoFeedback,1,0.7,A,7,6
1,0.07,seqFeedback,0,0.3,B,6,4
1,0.07,seqFeedback,1,0.3,B,1,27
1,0.07,seqFeedback,0,0.7,A,3,7
1,0.07,seqFeedback,1,0.7,A,15,3
1,0.07,nonSeqFull,0,0.3,B,0,14
1,0.07,nonSeqFull,0,0.7,B,1,3
1,0.07,nonSeqPartial,0,0.3,A,0,3
1,0.07,nonSeqPartial,0,0.7,B,19,7
1,0.07,seqNoFeedback,0,0.3,A,4,22
1,0.07,seqNoFeedback,1,0.3,A,3,4
1,0.07,seqNoFeedback,0,0.7,B,5,4
1,0.07,seqNoFeedback,1,0.7,B,8,8
1,0.07,seqFeedback,0,0.3,B,0,18
1,0.07,seqFeedback,1,0.3,B,2,36
1,0.07,seqFeedback,0,0.7,B,13,14
1,0.07,seqFeedback,1,0.7,B,18,9
1,0.07,nonSeqFull,0,0.3,B,5,39
1,0.07,nonSeqFull,0,0.7,B,18,7
1,0.07,nonSeqPartial,0,0.3,A,4,17
1,0.07,nonSeqPartial,0,0.7,A,1,2
1,0.07,seqNoFeedback,0,0.3,B,2,23
1,0.07,seqNoFeedback,1,0.3,B,1,11
1,0.07,seqNoFeedback,0,0.7,B,7,7
1,0.07,seqNoFeedback,1,0.7,B,17,2
1,0.07,seqFeedback,0,0.3,B,5,39
1,0.07,seqFeedback,1,0.3,B,2,17
1,0.07,seqFeedback,0,0.7,B,23,1
1,0.07,seqFeedback,1,0.7,B,29,15
1,0.07,nonSeqFull,0,0.3,A,4,1
1,0.07,nonSeqFull,0,0.7,A,37,0
1,0.07,nonSeqPartial,0,0.3,A,2,15
1,0.07,nonSeqPartial,0,0.7,A,26,1
1,0.07,seqNoFeedback,0,0.3,A,3,1
1,0.07,seqNoFeedback,1,0.3,A,0,8
1,0.07,seqNoFeedback,0,0.7,B,29,5
1,0.07,seqNoFeedback,1,0.7,B,6,2
1,0.07,seqFeedback,0,0.3,A,3,16
1,0.07,seqFeedback,1,0.3,A,2,1
1,0.07,seqFeedback,0,0.7,B,12,0
1,0.07,seqFeedback,1,0.7,B,11,7
1,0.07,nonSeqFull,0,0.3,A,4,3
1,0.07,nonSeqFull,0,0.7,B,0,4
1,0.07,nonSeqPartial,0,0.3,B,2,1
1,0.07,nonSeqPartial,0,0.7,A,0,3
1,0.07,seqNoFeedback,0,0.3,B,4,0
1,0.07,seqNoFeedback,1,0.3,B,2,12
1,0.07,seqNoFeedback,0,0.7,B,5,4
1,0.07,seqNoFeedback,1,0.7,B,0,4
1,0.07,seqFeedback,0,0.3,B,0,24
1,0.07,seqFeedback,1,0.3,B,1,22
1,0.07,seqFeedback,0,0.7,B,47,3
1,0.07,seqFeedback,1,0.7,B,7,2
1,0.07,nonSeqFull,0,0.3,A,4,10
1,0.07,nonSeqFull,0,0.7,A,18,6
1,0.07,nonSeqPartial,0,0.3,B,0,10
1,0.07,nonSeqPartial,0,0.7,B,14,5
1,0.07,seqNoFeedback,0,0.3,B,1,6
1,0.07,seqNoFeedback,1,0.3,B,2,8
1,0.07,seqNoFeedback,0,0.7,A,40,1
1,0.07,seqNoFeedback,1,0.7,A,13,13
1,0.07,seqFeedback,0,0.3,A,0,21
1,0.07,seqFeedback,1,0.3,A,3,0
1,0.07,seqFeedback,0,0.7,B,21,19
1,0.07,seqFeedback,1,0.7,B,2,3
1,0.07,nonSeqFull,0,0.3,A,1,1
1,0.07,nonSeqFull,0,0.7,B,27,7
1,0.07,nonSeqPartial,0,0.3,B,6,12
1,0.07,nonSeqPartial,0,0.7,B,4,5
1,0.07,seqNoFeedback,0,0.3,B,3,5
1,0.07,seqNoFeedback,1,0.3,B,4,22
1,0.07,seqNoFeedback,0,0.7,A,11,0
1,0.07,seqNoFeedback,1,0.7,A,14,6
1,0.07,seqFeedback,0,0.3,B,12,18
1,0.07,seqFeedback,1,0.3,B,0,4
1,0.07,seqFeedback,0,0.7,A,16,1
1,0.07,seqFeedback,1,0.7,A,28,3
1,0.07,nonSeqFull,0,0.3,B,3,28
1,0.07,nonSeqFull,0,0.7,A,18,0
