block_type,trial_num,true_theta,student_class,heads,tails
nonSeqFull,0,0.2,B,0,9
nonSeqFull,0,0.2,D,0,13
nonSeqFull,0,0.5,B,0,2
nonSeqFull,0,0.5,D,0,5
nonSeqFull,0,0.8,A,4,0
nonSeqFull,0,0.8,C,16,0
nonSeqPartial,0,0.2,B,0,10
nonSeqPartial,0,0.2,D,0,2
nonSeqPartial,0,0.5,B,1,4
nonSeqPartial,0,0.5,D,0,3
nonSeqPartial,0,0.8,A,4,0
nonSeqPartial,0,0.8,C,13,0
seqNoFeedback,0,0.2,A,0,7
seqNoFeedback,1,0.2,A,0,8
seqNoFeedback,0,0.2,C,0,1
seqNoFeedback,1,0.2,C,1,0
seqNoFeedback,0,0.5,A,0,2
seqNoFeedback,1,0.5,A,0,1
seqNoFeedback,0,0.5,C,1,9
seqNoFeedback,1,0.5,C,0,3
seqNoFeedback,0,0.8,B,1,1
seqNoFeedback,1,0.8,B,2,0
seqNoFeedback,0,0.8,C,16,0
seqNoFeedback,1,0.8,C,2,0
seqFeedback,0,0.2,B,1,0
seqFeedback,1,0.2,B,0,7
seqFeedback,0,0.2,D,1,0
seqFeedback,1,0.2,D,0,12
seqFeedback,0,0.5,B,2,0
seqFeedback,1,0.5,B,1,4
seqFeedback,0,0.5,C,0,5
seqFeedback,1,0.5,C,3,1
seqFeedback,0,0.8,A,11,0
seqFeedback,1,0.8,A,5,0
seqFeedback,0,0.8,D,2,0
seqFeedback,1,0.8,D,0,1
nonSeqFull,0,0.2,A,0,1
nonSeqFull,0,0.2,D,0,12
nonSeqFull,0,0.5,B,0,2
nonSeqFull,0,0.5,C,4,0
nonSeqFull,0,0.8,B,0,1
nonSeqFull,0,0.8,D,0,1
nonSeqPartial,0,0.2,B,1,3
nonSeqPartial,0,0.2,D,1,1
nonSeqPartial,0,0.5,B,0,2
nonSeqPartial,0,0.5,C,0,4
nonSeqPartial,0,0.8,B,5,0
nonSeqPartial,0,0.8,C,0,2
seqNoFeedback,0,0.2,B,1,0
seqNoFeedback,1,0.2,B,1,0
seqNoFeedback,0,0.2,D,0,1
seqNoFeedback,1,0.2,D,0,14
seqNoFeedback,0,0.5,A,2,0
seqNoFeedback,1,0.5,A,4,0
seqNoFeedback,0,0.5,C,6,0
seqNoFeedback,1,0.5,C,4,0
seqNoFeedback,0,0.8,A,7,0
seqNoFeedback,1,0.8,A,0,1
seqNoFeedback,0,0.8,D,0,1
seqNoFeedback,1,0.8,D,17,0
seqFeedback,0,0.2,A,1,0
seqFeedback,1,0.2,A,1,1
seqFeedback,0,0.2,C,1,4
seqFeedback,1,0.2,C,0,1
seqFeedback,0,0.5,B,3,0
seqFeedback,1,0.5,B,0,1
seqFeedback,0,0.5,C,2,1
seqFeedback,1,0.5,C,1,0
seqFeedback,0,0.8,B,2,0
seqFeedback,1,0.8,B,1,1
seqFeedback,0,0.8,C,15,0
seqFeedback,1,0.8,C,12,0
nonSeqFull,0,0.2,A,1,0
nonSeqFull,0,0.2,D,0,12
nonSeqFull,0,0.5,B,0,2
nonSeqFull,0,0.5,C,3,0
nonSeqFull,0,0.8,B,2,1
nonSeqFull,0,0.8,D,1,0
nonSeqPartial,0,0.2,B,0,1
nonSeqPartial,0,0.2,D,1,24
nonSeqPartial,0,0.5,A,2,0
nonSeqPartial,0,0.5,D,0,3
