alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
1,0.01,nonSeqFull,0,0.3,A,8,27
1,0.01,nonSeqFull,0,0.7,B,6,11
1,0.01,nonSeqPartial,0,0.3,A,4,26
1,0.01,nonSeqPartial,0,0.7,B,17,0
1,0.01,seqNoFeedback,0,0.3,A,4,17
1,0.01,seqNoFeedback,1,0.3,A,4,19
1,0.01,seqNoFeedback,0,0.7,A,28,2
1,0.01,seqNoFeedback,1,0.7,A,22,7
1,0.01,seqFeedback,0,0.3,A,0,37
1,0.01,seqFeedback,1,0.3,A,5,5
1,0.01,seqFeedback,0,0.7,A,23,1
1,0.01,seqFeedback,1,0.7,A,23,3
1,0.01,nonSeqFull,0,0.3,B,7,37
1,0.01,nonSeqFull,0,0.7,A,23,2
1,0.01,nonSeqPartial,0,0.3,A,10,16
1,0.01,nonSeqPartial,0,0.7,B,28,4
1,0.01,seqNoFeedback,0,0.3,B,4,28
1,0.01,seqNoFeedback,1,0.3,B,1,0
1,0.01,seqNoFeedback,0,0.7,A,18,6
1,0.01,seqNoFeedback,1,0.7,A,19,4
1,0.01,seqFeedback,0,0.3,B,14,24
1,0.01,seqFeedback,1,0.3,B,1,17
1,0.01,seqFeedback,0,0.7,B,38,7
1,0.01,seqFeedback,1,0.7,B,19,9
1,0.01,nonSeqFull,0,0.3,A,4,3
1,0.01,nonSeqFull,0,0.7,B,23,8
1,0.01,nonSeqPartial,0,0.3,A,1,0
1,0.01,nonSeqPartial,0,0.7,A,37,11
1,0.01,seqNoFeedback,0,0.3,B,1,30
1,0.01,seqNoFeedback,1,0.3,B,3,1
1,0.01,seqNoFeedback,0,0.7,A,38,1
1,0.01,seqNoFeedback,1,0.7,A,1,9
1,0.01,seqFeedback,0,0.3,A,1,21
1,0.01,seqFeedback,1,0.3,A,10,3
1,0.01,seqFeedback,0,0.7,A,9,6
1,0.01,seqFeedback,1,0.7,A,44,4
1,0.01,nonSeqFull,0,0.3,A,11,32
1,0.01,nonSeqFull,0,0.7,A,42,7
1,0.01,nonSeqPartial,0,0.3,B,11,16
1,0.01,nonSeqPartial,0,0.7,A,10,9
1,0.01,seqNoFeedback,0,0.3,A,3,7
1,0.01,seqNoFeedback,1,0.3,A,7,23
1,0.01,seqNoFeedback,0,0.7,A,29,14
1,0.01,seqNoFeedback,1,0.7,A,9,0
1,0.01,seqFeedback,0,0.3,A,14,35
1,0.01,seqFeedback,1,0.3,A,11,14
1,0.01,seqFeedback,0,0.7,A,15,2
1,0.01,seqFeedback,1,0.7,A,26,0
1,0.01,nonSeqFull,0,0.3,A,15,11
1,0.01,nonSeqFull,0,0.7,B,11,7
1,0.01,nonSeqPartial,0,0.3,A,16,19
1,0.01,nonSeqPartial,0,0.7,A,27,4
1,0.01,seqNoFeedback,0,0.3,B,9,26
1,0.01,seqNoFeedback,1,0.3,B,7,29
1,0.01,seqNoFeedback,0,0.7,A,35,2
1,0.01,seqNoFeedback,1,0.7,A,19,14
1,0.01,seqFeedback,0,0.3,B,14,16
1,0.01,seqFeedback,1,0.3,B,8,22
1,0.01,seqFeedback,0,0.7,A,26,0
1,0.01,seqFeedback,1,0.7,A,23,0
1,0.01,nonSeqFull,0,0.3,A,16,30
1,0.01,nonSeqFull,0,0.7,B,11,12
1,0.01,nonSeqPartial,0,0.3,B,6,29
1,0.01,nonSeqPartial,0,0.7,B,35,13
1,0.01,seqNoFeedback,0,0.3,B,13,31
1,0.01,seqNoFeedback,1,0.3,B,0,15
1,0.01,seqNoFeedback,0,0.7,A,20,11
1,0.01,seqNoFeedback,1,0.7,A,35,5
1,0.01,seqFeedback,0,0.3,A,13,19
1,0.01,seqFeedback,1,0.3,A,15,35
1,0.01,seqFeedback,0,0.7,B,36,13
1,0.01,seqFeedback,1,0.7,B,34,13
1,0.01,nonSeqFull,0,0.3,A,11,29
1,0.01,nonSeqFull,0,0.7,B,20,10
1,0.01,nonSeqPartial,0,0.3,B,10,28
1,0.01,nonSeqPartial,0,0.7,A,32,4
1,0.01,seqNoFeedback,0,0.3,B,12,33
1,0.01,seqNoFeedback,1,0.3,B,6,0
1,0.01,seqNoFeedback,0,0.7,B,29,6
1,0.01,seqNoFeedback,1,0.7,B,27,16
1,0.01,seqFeedback,0,0.3,A,4,10
1,0.01,seqFeedback,1,0.3,A,3,3
1,0.01,seqFeedback,0,0.7,B,34,13
1,0.01,seqFeedback,1,0.7,B,20,9
