subject,run,block_idx,ex_idx,first_movement,start,onset,problem,order,example,rating
1,3,1,1,"[0, 1]","[0, 0]",123.3,37,"['B', 'C', 'A', 'D']","[5, 0]",2.0
1,3,1,2,"[0, 1]","[0, 0]",139.35000000000002,37,"['B', 'C', 'A', 'D']",,0.0
1,3,2,0,"[0, 4]","[0, 5]",182.95000000000002,36,"['B', 'C', 'D', 'A']","[1, 1]",2.0
1,3,2,1,"[0, 4]","[0, 5]",197.20000000000002,36,"['B', 'C', 'D', 'A']","[1, 4]",
1,3,2,2,"[0, 4]","[0, 5]",211.20000000000002,36,"['B', 'C', 'D', 'A']","[4, 4]",3.0
1,3,3,0,"[5, 1]","[5, 0]",255.35000000000002,9,"['B', 'C', 'D', 'A']","[5, 1]",0.0
1,3,3,1,"[5, 1]","[5, 0]",269.7,9,"['B', 'C', 'D', 'A']",,4.0
1,3,3,2,"[5, 1]","[5, 0]",283.8,9,"['B', 'C', 'D', 'A']","[3, 5]",3.0
1,4,0,0,"[0, 1]","[0, 0]",30.0,30,"['A', 'C', 'D', 'B']","[1, 5]",2.0
1,4,0,1,"[0, 1]","[0, 0]",43.99999999999999,30,"['A', 'C', 'D', 'B']","[2, 5]",2.0
1,4,0,2,"[0, 1]","[0, 0]",59.749999999999986,30,"['A', 'C', 'D', 'B']","[4, 5]",3.0
1,4,1,0,"[0, 4]","[0, 5]",106.84999999999998,38,"['A', 'B', 'C', 'D']","[0, 1]",2.0
1,4,1,1,"[0, 4]","[0, 5]",120.84999999999997,38,"['A', 'B', 'C', 'D']","[1, 2]",3.0
1,4,1,2,"[0, 4]","[0, 5]",134.79999999999995,38,"['A', 'B', 'C', 'D']","[4, 1]",4.0
1,4,2,0,"[5, 5]","[5, 5]",179.94999999999993,5,"['B', 'A', 'D', 'C']","[1, 2]",1.0
1,4,2,1,"[5, 5]","[5, 5]",195.49999999999991,5,"['B', 'A', 'D', 'C']","[0, 2]",2.0
1,4,2,2,"[5, 5]","[5, 5]",210.34999999999994,5,"['B', 'A', 'D', 'C']","[5, 2]",3.0
1,4,3,0,"[5, 1]","[5, 0]",252.19999999999993,23,"['A', 'B', 'D', 'C']","[5, 3]",2.0
1,4,3,1,"[5, 1]","[5, 0]",268.0499999999999,23,"['A', 'B', 'D', 'C']","[4, 3]",4.0
1,4,3,2,"[5, 1]","[5, 0]",283.3999999999999,23,"['A', 'B', 'D', 'C']","[5, 2]",3.0
1,5,0,0,"[5, 0]","[5, 0]",30.0,24,"['A', 'C', 'B', 'D']","[4, 2]",2.0
1,5,0,1,"[5, 0]","[5, 0]",43.199999999999996,24,"['A', 'C', 'B', 'D']","[2, 0]",3.0
1,5,0,2,"[5, 0]","[5, 0]",57.5,24,"['A', 'C', 'B', 'D']","[1, 3]",4.0
1,5,1,0,"[0, 4]","[0, 5]",105.55000000000001,27,"['D', 'A', 'C', 'B']","[2, 1]",1.0
1,5,1,1,"[0, 4]","[0, 5]",120.65,27,"['D', 'A', 'C', 'B']","[4, 1]",2.0
1,5,1,2,"[0, 4]","[0, 5]",135.35000000000002,27,"['D', 'A', 'C', 'B']","[4, 4]",3.0
1,5,2,0,"[5, 5]","[5, 5]",178.35000000000005,39,"['C', 'A', 'B', 'D']","[5, 5]",1.0
1,5,2,1,"[5, 5]","[5, 5]",193.05000000000004,39,"['C', 'A', 'B', 'D']","[0, 0]",2.0
1,5,2,2,"[5, 5]","[5, 5]",208.10000000000005,39,"['C', 'A', 'B', 'D']","[2, 2]",3.0
1,5,3,0,"[0, 1]","[0, 0]",253.25000000000006,21,"['A', 'B', 'C', 'D']","[3, 2]",2.0
1,5,3,1,"[0, 1]","[0, 0]",268.3500000000001,21,"['A', 'B', 'C', 'D']","[4, 2]",3.0
1,5,3,2,"[0, 1]","[0, 0]",282.9000000000001,21,"['A', 'B', 'C', 'D']","[1, 2]",4.0
1,6,0,0,"[5, 4]","[5, 5]",30.0,11,"['D', 'A', 'C', 'B']","[4, 0]",3.0
1,6,0,1,"[5, 4]","[5, 5]",45.35,11,"['D', 'A', 'C', 'B']","[3, 1]",4.0
1,6,0,2,"[5, 4]","[5, 5]",59.49999999999999,11,"['D', 'A', 'C', 'B']","[2, 2]",4.0
1,6,1,0,"[5, 0]","[5, 0]",104.25,14,"['A', 'C', 'D', 'B']","[4, 1]",2.0
1,6,1,1,"[5, 0]","[5, 0]",119.35,14,"['A', 'C', 'D', 'B']","[2, 1]",3.0
1,6,1,2,"[5, 0]","[5, 0]",134.7,14,"['A', 'C', 'D', 'B']","[2, 3]",4.0
1,6,2,0,"[1, 5]","[0, 5]",181.99999999999997,35,"['C', 'D', 'A', 'B']","[2, 5]",2.0
1,6,2,1,"[1, 5]","[0, 5]",197.49999999999997,35,"['C', 'D', 'A', 'B']","[2, 0]",3.0
1,6,2,2,"[1, 5]","[0, 5]",212.54999999999998,35,"['C', 'D', 'A', 'B']","[2, 2]",2.0
1,6,3,0,"[1, 0]","[0, 0]",255.6,26,"['D', 'B', 'C', 'A']","[4, 1]",1.0
1,6,3,1,"[1, 0]","[0, 0]",270.35,26,"['D', 'B', 'C', 'A']","[4, 4]",1.0
1,6,3,2,"[1, 0]","[0, 0]",284.84999999999997,26,"['D', 'B', 'C', 'A']","[5, 5]",4.0
1,7,0,0,"[5, 5]","[5, 5]",30.0,32,"['B', 'C', 'D', 'A']","[4, 3]",1.0
1,7,0,1,"[5, 5]","[5, 5]",43.99999999999999,32,"['B', 'C', 'D', 'A']","[3, 3]",
1,7,0,2,"[5, 5]","[5, 5]",56.849999999999994,32,"['B', 'C', 'D', 'A']","[4, 2]",2.0
1,7,1,0,"[1, 0]","[0, 0]",100.9,34,"['D', 'A', 'B', 'C']","[4, 0]",3.0
1,7,1,1,"[1, 0]","[0, 0]",116.95,34,"['D', 'A', 'B', 'C']","[4, 1]",3.0
1,7,1,2,"[1, 0]","[0, 0]",131.2,34,"['D', 'A', 'B', 'C']","[5, 1]",4.0
