subject_id,alpha,costWeight,lesson_num,sequential,feedback,teacher_knowledge,theta,student_prior,n_majority,n_turtles
0,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,30,41
0,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,16,17
0,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,43,59
0,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,1,7
0,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,40,58
0,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,15,20
0,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,45,62
0,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,17,19
0,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_low,21,22
0,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_high,3,7
0,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_high,32,48
0,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_low,36,43
0,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_low,35,49
0,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_high,48,66
0,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_high,44,61
0,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_low,46,64
0,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_low,42,59
0,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_low,5,6
0,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_high,43,60
0,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_high,7,11
0,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_high,40,56
0,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_high,7,10
0,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_low,48,65
0,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_low,2,3
1,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,42,58
1,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,13,14
1,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,46,63
1,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,10,17
1,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,51,69
1,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,2,7
1,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,43,57
1,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,6,7
1,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_low,53,66
1,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_high,31,48
1,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_high,5,11
1,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_low,31,36
1,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_low,44,61
1,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_high,42,55
1,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_high,37,52
1,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_low,50,69
1,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_low,52,69
1,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_low,0,2
1,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_high,42,59
1,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_high,15,17
1,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_high,51,69
1,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_high,16,22
1,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_low,42,60
1,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_low,32,39
2,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,48,66
2,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,7,7
2,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,45,64
2,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,5,9
2,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,48,68
2,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,6,11
2,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,42,57
2,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,19,22
2,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_low,36,41
2,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_high,29,43
2,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_high,12,21
2,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_low,26,28
2,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_low,44,61
2,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_high,41,56
2,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_high,46,63
2,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_low,50,69
2,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_low,47,64
2,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_low,1,1
2,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_high,34,47
2,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_high,29,42
2,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_high,40,55
2,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_high,5,8
2,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_low,45,62
2,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_low,2,3
3,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,41,57
3,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,7,7
3,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,44,59
3,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,6,15
3,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,48,65
3,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,8,19
3,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,48,65
3,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,24,31
3,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_low,23,24
3,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_high,39,58
3,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_high,28,44
3,16,0.01,lesson1,non_sequential,no_feedback,full,0.7,too_low,40,51
3,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_low,45,61
3,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_high,50,68
3,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_high,46,66
3,16,0.01,lesson1,non_sequential,no_feedback,partial,0.7,too_low,39,54
3,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_low,40,54
3,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_low,12,19
3,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_high,44,63
3,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_high,2,3
3,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_high,49,68
3,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_high,5,5
3,16,0.01,lesson1,sequential,no_feedback,partial,0.7,too_low,41,57
3,16,0.01,lesson2,sequential,no_feedback,partial,0.7,too_low,5,8
4,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,46,64
4,16,0.01,lesson2,sequential,feedback,partial,0.7,too_low,8,8
4,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,39,55
4,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,0,2
4,16,0.01,lesson1,sequential,feedback,partial,0.7,too_high,50,70
4,16,0.01,lesson2,sequential,feedback,partial,0.7,too_high,7,13
4,16,0.01,lesson1,sequential,feedback,partial,0.7,too_low,48,65
