,subject_id,student_idx,block_type,trial_num,true_theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood
0,A107RJSS561Y7R,0,seqFeedback,0,0.2,8,2,D,1,4,0.6,,,1.31,yes
1,A107RJSS561Y7R,0,seqFeedback,1,0.2,8,2,D,1,4,0.5,0.3,0.0,1.31,yes
2,A107RJSS561Y7R,1,seqNoFeedback,0,0.2,2,8,C,0,5,,,,1.31,yes
3,A107RJSS561Y7R,1,seqNoFeedback,1,0.2,2,8,C,0,5,0.1,0.1,0.0,1.31,yes
4,A107RJSS561Y7R,2,nonSeqPartial,0,0.8,1,4,A,8,0,0.6923076923076923,0.10769230769230775,0.0,1.31,yes
5,A107RJSS561Y7R,3,seqNoFeedback,0,0.5,1,4,A,5,5,,,,1.31,yes
6,A107RJSS561Y7R,3,seqNoFeedback,1,0.5,1,4,A,5,5,0.44,0.06,0.0,1.31,yes
7,A107RJSS561Y7R,4,seqFeedback,0,0.5,2,8,C,1,1,0.25,,,1.31,yes
8,A107RJSS561Y7R,4,seqFeedback,1,0.5,2,8,C,1,1,0.2857142857142857,0.2142857142857143,0.0,1.31,yes
9,A107RJSS561Y7R,5,nonSeqFull,0,0.8,4,1,B,30,0,0.9714285714285714,0.17142857142857137,0.0,1.31,yes
10,A107RJSS561Y7R,6,nonSeqFull,0,0.5,2,8,C,3,1,0.35714285714285715,0.14285714285714285,0.0,1.31,yes
11,A107RJSS561Y7R,7,seqNoFeedback,0,0.8,1,4,A,5,1,,,,1.31,yes
12,A107RJSS561Y7R,7,seqNoFeedback,1,0.8,1,4,A,5,1,0.6470588235294118,0.15294117647058825,0.0,1.31,yes
13,A107RJSS561Y7R,8,nonSeqFull,0,0.2,2,8,C,1,2,0.23076923076923078,0.03076923076923077,0.47,1.31,yes
14,A107RJSS561Y7R,9,seqNoFeedback,0,0.2,4,1,B,1,2,,,,1.31,yes
15,A107RJSS561Y7R,9,seqNoFeedback,1,0.2,4,1,B,1,4,0.46153846153846156,0.26153846153846155,0.0,1.31,yes
16,A107RJSS561Y7R,10,seqFeedback,0,0.8,4,1,B,4,1,0.8,,,1.31,yes
17,A107RJSS561Y7R,10,seqFeedback,1,0.8,4,1,B,4,1,0.8,0.0,0.4,1.31,yes
18,A107RJSS561Y7R,11,seqFeedback,0,0.5,1,4,A,4,4,0.38461538461538464,,,1.31,yes
19,A107RJSS561Y7R,11,seqFeedback,1,0.5,1,4,A,5,5,0.43478260869565216,0.06521739130434784,0.0,1.31,yes
20,A107RJSS561Y7R,12,nonSeqPartial,0,0.2,1,4,A,1,5,0.18181818181818182,0.018181818181818188,0.44,1.31,yes
21,A107RJSS561Y7R,13,seqFeedback,0,0.8,2,8,C,5,1,0.4375,,,1.31,yes
22,A107RJSS561Y7R,13,seqFeedback,1,0.8,2,8,C,15,1,0.6875,0.11250000000000004,0.0,1.31,yes
23,A107RJSS561Y7R,14,seqFeedback,0,0.2,1,4,A,1,5,0.18181818181818182,,,1.31,yes
24,A107RJSS561Y7R,14,seqFeedback,1,0.2,1,4,A,1,10,0.13636363636363635,0.06363636363636366,0.0,1.31,yes
25,A107RJSS561Y7R,15,nonSeqPartial,0,0.8,2,8,C,10,1,0.5714285714285714,0.22857142857142865,0.0,1.31,yes
26,A107RJSS561Y7R,16,nonSeqPartial,0,0.2,2,8,C,1,10,0.14285714285714285,0.05714285714285716,0.0,1.31,yes
27,A107RJSS561Y7R,17,seqNoFeedback,0,0.8,2,8,C,10,1,,,,1.31,yes
28,A107RJSS561Y7R,17,seqNoFeedback,1,0.8,2,8,C,10,1,0.6875,0.11250000000000004,0.0,1.31,yes
29,A107RJSS561Y7R,18,nonSeqFull,0,0.8,2,8,C,15,1,0.6538461538461539,0.1461538461538462,0.0,1.31,yes
30,A107RJSS561Y7R,19,nonSeqPartial,0,0.5,2,8,C,4,4,0.3333333333333333,0.16666666666666669,0.0,1.31,yes
31,A107RJSS561Y7R,20,nonSeqPartial,0,0.5,1,4,A,2,2,0.3333333333333333,0.16666666666666669,0.0,1.31,yes
32,A107RJSS561Y7R,21,nonSeqFull,0,0.5,1,4,A,5,5,0.4,0.09999999999999998,0.0,1.31,yes
33,A107RJSS561Y7R,22,seqNoFeedback,0,0.5,8,2,D,8,8,,,,1.31,yes
34,A107RJSS561Y7R,22,seqNoFeedback,1,0.5,8,2,D,8,8,0.5714285714285714,0.0714285714285714,0.0,1.31,yes
35,A107RJSS561Y7R,23,nonSeqFull,0,0.2,1,4,A,3,1,0.4444444444444444,0.2444444444444444,0.0,1.31,yes
36,A10JXOU89D5RXR,0,nonSeqFull,0,0.8,2,8,C,8,2,0.5,0.30000000000000004,0.0,2.9,yes
37,A10JXOU89D5RXR,1,seqFeedback,0,0.5,8,2,D,5,5,0.65,,,2.9,yes
38,A10JXOU89D5RXR,1,seqFeedback,1,0.5,8,2,D,5,5,0.6,0.09999999999999998,0.0,2.9,yes
39,A10JXOU89D5RXR,2,nonSeqFull,0,0.2,2,8,C,2,8,0.2,0.0,0.4,2.9,yes
40,A10JXOU89D5RXR,3,nonSeqPartial,0,0.2,8,2,D,2,8,0.5,0.3,0.0,2.9,yes
41,A10JXOU89D5RXR,4,seqNoFeedback,0,0.8,4,1,B,8,2,,,,2.9,yes
42,A10JXOU89D5RXR,4,seqNoFeedback,1,0.8,4,1,B,8,2,0.8,0.0,0.3,2.9,yes
43,A10JXOU89D5RXR,5,nonSeqPartial,0,0.8,2,8,C,8,2,0.5,0.30000000000000004,0.0,2.9,yes
44,A10JXOU89D5RXR,6,seqFeedback,0,0.2,8,2,D,2,8,0.5,,,2.9,yes
45,A10JXOU89D5RXR,6,seqFeedback,1,0.2,8,2,D,0,8,0.35714285714285715,0.15714285714285714,0.0,2.9,yes
46,A10JXOU89D5RXR,7,nonSeqFull,0,0.5,4,1,B,5,5,0.6,0.09999999999999998,0.0,2.9,yes
47,A10JXOU89D5RXR,8,seqFeedback,0,0.8,2,8,C,8,2,0.5,,,2.9,yes
48,A10JXOU89D5RXR,8,seqFeedback,1,0.8,2,8,C,8,0,0.6428571428571429,0.15714285714285714,0.0,2.9,yes
49,A10JXOU89D5RXR,9,seqFeedback,0,0.2,1,4,A,0,8,0.07692307692307693,,,2.9,yes
50,A10JXOU89D5RXR,9,seqFeedback,1,0.2,1,4,A,0,8,0.047619047619047616,0.1523809523809524,0.0,2.9,yes
51,A10JXOU89D5RXR,10,seqFeedback,0,0.8,1,4,A,8,0,0.6923076923076923,,,2.9,yes
52,A10JXOU89D5RXR,10,seqFeedback,1,0.8,1,4,A,8,0,0.8095238095238095,0.00952380952380949,0.34,2.9,yes
53,A10JXOU89D5RXR,11,nonSeqPartial,0,0.5,8,2,D,1,1,0.75,0.25,0.0,2.9,yes
54,A10JXOU89D5RXR,12,nonSeqPartial,0,0.8,1,4,A,5,0,0.6,0.20000000000000007,0.0,2.9,yes
55,A10JXOU89D5RXR,13,seqFeedback,0,0.5,4,1,B,1,1,0.7142857142857143,,,2.9,yes
56,A10JXOU89D5RXR,13,seqFeedback,1,0.5,4,1,B,0,2,0.5555555555555556,0.05555555555555558,0.0,2.9,yes
57,A10JXOU89D5RXR,14,nonSeqPartial,0,0.5,1,4,A,4,4,0.38461538461538464,0.11538461538461536,0.0,2.9,yes
58,A10JXOU89D5RXR,15,seqNoFeedback,0,0.8,2,8,C,8,2,,,,2.9,yes
59,A10JXOU89D5RXR,15,seqNoFeedback,1,0.8,2,8,C,8,2,0.6,0.20000000000000007,0.0,2.9,yes
60,A10JXOU89D5RXR,16,nonSeqFull,0,0.8,4,1,B,4,1,0.8,0.0,0.45,2.9,yes
61,A10JXOU89D5RXR,17,nonSeqFull,0,0.5,2,8,C,8,2,0.5,0.0,0.4,2.9,yes
62,A10JXOU89D5RXR,18,seqNoFeedback,0,0.2,1,4,A,1,9,,,,2.9,yes
63,A10JXOU89D5RXR,18,seqNoFeedback,1,0.2,1,4,A,2,8,0.16,0.04000000000000001,0.3,2.9,yes
64,A10JXOU89D5RXR,19,nonSeqPartial,0,0.2,4,1,B,2,8,0.4,0.2,0.0,2.9,yes
65,A10JXOU89D5RXR,20,nonSeqFull,0,0.2,4,1,B,0,19,0.16666666666666666,0.033333333333333354,0.31,2.9,yes
66,A10JXOU89D5RXR,21,seqNoFeedback,0,0.5,2,8,C,6,6,,,,2.9,yes
67,A10JXOU89D5RXR,21,seqNoFeedback,1,0.5,2,8,C,5,5,0.40625,0.09375,0.0,2.9,yes
68,A10JXOU89D5RXR,22,seqNoFeedback,0,0.5,1,4,A,5,5,,,,2.9,yes
69,A10JXOU89D5RXR,22,seqNoFeedback,1,0.5,1,4,A,5,5,0.44,0.06,0.0,2.9,yes
