speaker_alpha,listener_alpha,guess_cost,block_type,theta,student_a,student_b,first_examples_a,first_examples_b,teacher_knowledge,feedback_choice,first_guess
16,16,0.1,,0.1,9,1,0,5,0.6020353650413921,0.5567412234276169,0.447120416161696
16,16,0.1,,0.1,9,1,1,4,0.587101763747989,0.5397502791936137,0.11934735437800519
16,16,0.1,,0.1,9,1,2,3,0.6331434069923899,0.9999999380024401,0.050273274499392846
16,16,0.1,,0.1,9,1,3,2,0.21515640759841695,0.8036283005055967,0.000001221304682126775
16,16,0.1,,0.1,9,1,4,1,0.3663248820981122,0.17525808316424757,3.384709132219632e-16
16,16,0.1,,0.1,9,1,5,0,0.3276017693857455,0.3518588053726063,3.5734724558458066e-26
16,16,0.1,,0.1,1,9,0,5,0.32760176938574564,0.351858805372606,0.6886195227252735
16,16,0.1,,0.1,1,9,1,4,0.36632488209811187,0.17525808316424726,0.5494873231471148
16,16,0.1,,0.1,1,9,2,3,0.2151564075984164,0.8036283005055975,0.32266006482055437
16,16,0.1,,0.1,1,9,3,2,0.6331434069923897,0.9999999380024401,0.0000017126100501309328
16,16,0.1,,0.1,1,9,4,1,0.5871017637479887,0.5397502791936128,6.616357774375883e-16
16,16,0.1,,0.1,1,9,5,0,0.6020353650413922,0.5567412234276193,6.344970569566416e-26
16,16,0.1,,0.3,9,1,0,5,0.6020353650413921,0.5567412234276169,0.3501734637233638
16,16,0.1,,0.3,9,1,1,4,0.587101763747989,0.5397502791936137,2.5639770183608303e-12
16,16,0.1,,0.3,9,1,2,3,0.6331434069923899,0.9999999380024401,0.000011615012022424002
16,16,0.1,,0.3,9,1,3,2,0.21515640759841695,0.8036283005055967,0.6772641672976925
16,16,0.1,,0.3,9,1,4,1,0.3663248820981122,0.17525808316424757,0.45051267685152563
16,16,0.1,,0.3,9,1,5,0,0.3276017693857455,0.3518588053726063,0.1141636086283083
16,16,0.1,,0.3,1,9,0,5,0.32760176938574564,0.351858805372606,0.1972168686464182
16,16,0.1,,0.3,1,9,1,4,0.36632488209811187,0.17525808316424726,1.3586605384600308e-12
16,16,0.1,,0.3,1,9,2,3,0.2151564075984164,0.8036283005055975,0.00007454657707033024
16,16,0.1,,0.3,1,9,3,2,0.6331434069923897,0.9999999380024401,0.9497133978785346
16,16,0.1,,0.3,1,9,4,1,0.5871017637479887,0.5397502791936128,0.8806526456194301
16,16,0.1,,0.3,1,9,5,0,0.6020353650413922,0.5567412234276193,0.2027061201149401
16,16,0.1,,0.7,9,1,0,5,0.6020353650413921,0.5567412234276169,0.2027061201149401
16,16,0.1,,0.7,9,1,1,4,0.587101763747989,0.5397502791936137,0.8806526456194301
16,16,0.1,,0.7,9,1,2,3,0.6331434069923899,0.9999999380024401,0.9497133978785346
16,16,0.1,,0.7,9,1,3,2,0.21515640759841695,0.8036283005055967,0.00007454657707033183
16,16,0.1,,0.7,9,1,4,1,0.3663248820981122,0.17525808316424757,1.3586605384600214e-12
16,16,0.1,,0.7,9,1,5,0,0.3276017693857455,0.3518588053726063,0.19721686864641827
16,16,0.1,,0.7,1,9,0,5,0.32760176938574564,0.351858805372606,0.1141636086283083
16,16,0.1,,0.7,1,9,1,4,0.36632488209811187,0.17525808316424726,0.4505126768515261
16,16,0.1,,0.7,1,9,2,3,0.2151564075984164,0.8036283005055975,0.6772641672976931
16,16,0.1,,0.7,1,9,3,2,0.6331434069923897,0.9999999380024401,0.000011615012022424312
16,16,0.1,,0.7,1,9,4,1,0.5871017637479887,0.5397502791936128,2.563977018360812e-12
16,16,0.1,,0.7,1,9,5,0,0.6020353650413922,0.5567412234276193,0.3501734637233639
16,16,0.1,,0.9,9,1,0,5,0.6020353650413921,0.5567412234276169,6.3449705695661e-26
16,16,0.1,,0.9,9,1,1,4,0.587101763747989,0.5397502791936137,6.616357774375695e-16
16,16,0.1,,0.9,9,1,2,3,0.6331434069923899,0.9999999380024401,0.000001712610050130863
16,16,0.1,,0.9,9,1,3,2,0.21515640759841695,0.8036283005055967,0.3226600648205551
16,16,0.1,,0.9,9,1,4,1,0.3663248820981122,0.17525808316424757,0.5494873231471153
16,16,0.1,,0.9,9,1,5,0,0.3276017693857455,0.3518588053726063,0.6886195227252734
16,16,0.1,,0.9,1,9,0,5,0.32760176938574564,0.351858805372606,3.5734724558456287e-26
16,16,0.1,,0.9,1,9,1,4,0.36632488209811187,0.17525808316424726,3.3847091322195356e-16
16,16,0.1,,0.9,1,9,2,3,0.2151564075984164,0.8036283005055975,0.0000012213046821267296
16,16,0.1,,0.9,1,9,3,2,0.6331434069923897,0.9999999380024401,0.05027327449939303
16,16,0.1,,0.9,1,9,4,1,0.5871017637479887,0.5397502791936128,0.1193473543780054
16,16,0.1,,0.9,1,9,5,0,0.6020353650413922,0.5567412234276193,0.44712041616169607
16,16,0.2,,0.1,9,1,0,5,0.6020353650413921,0.20228832310632888,0.447120416161696
16,16,0.2,,0.1,9,1,1,4,0.587101763747989,0.19144275797195182,0.11934735437800519
16,16,0.2,,0.1,9,1,2,3,0.6331434069923899,0.99999969292415,0.050273274499392846
16,16,0.2,,0.1,9,1,3,2,0.21515640759841695,0.4524262375097723,0.000001221304682126775
16,16,0.2,,0.1,9,1,4,1,0.3663248820981122,0.04113815917268064,3.384709132219632e-16
16,16,0.2,,0.1,9,1,5,0,0.3276017693857455,0.09877783270561345,3.5734724558458066e-26
16,16,0.2,,0.1,1,9,0,5,0.32760176938574564,0.09877783270561363,0.6886195227252735
16,16,0.2,,0.1,1,9,1,4,0.36632488209811187,0.041138159172680586,0.5494873231471148
16,16,0.2,,0.1,1,9,2,3,0.2151564075984164,0.4524262375097743,0.32266006482055437
16,16,0.2,,0.1,1,9,3,2,0.6331434069923897,0.99999969292415,0.0000017126100501309328
16,16,0.2,,0.1,1,9,4,1,0.5871017637479887,0.19144275797195132,6.616357774375883e-16
16,16,0.2,,0.1,1,9,5,0,0.6020353650413922,0.2022883231063305,6.344970569566416e-26
16,16,0.2,,0.3,9,1,0,5,0.6020353650413921,0.20228832310632888,0.3501734637233638
16,16,0.2,,0.3,9,1,1,4,0.587101763747989,0.19144275797195182,2.5639770183608303e-12
16,16,0.2,,0.3,9,1,2,3,0.6331434069923899,0.99999969292415,0.000011615012022424002
16,16,0.2,,0.3,9,1,3,2,0.21515640759841695,0.4524262375097723,0.6772641672976925
16,16,0.2,,0.3,9,1,4,1,0.3663248820981122,0.04113815917268064,0.45051267685152563
16,16,0.2,,0.3,9,1,5,0,0.3276017693857455,0.09877783270561345,0.1141636086283083
16,16,0.2,,0.3,1,9,0,5,0.32760176938574564,0.09877783270561363,0.1972168686464182
16,16,0.2,,0.3,1,9,1,4,0.36632488209811187,0.041138159172680586,1.3586605384600308e-12
16,16,0.2,,0.3,1,9,2,3,0.2151564075984164,0.4524262375097743,0.00007454657707033024
16,16,0.2,,0.3,1,9,3,2,0.6331434069923897,0.99999969292415,0.9497133978785346
16,16,0.2,,0.3,1,9,4,1,0.5871017637479887,0.19144275797195132,0.8806526456194301
16,16,0.2,,0.3,1,9,5,0,0.6020353650413922,0.2022883231063305,0.2027061201149401
16,16,0.2,,0.7,9,1,0,5,0.6020353650413921,0.20228832310632888,0.2027061201149401
16,16,0.2,,0.7,9,1,1,4,0.587101763747989,0.19144275797195182,0.8806526456194301
16,16,0.2,,0.7,9,1,2,3,0.6331434069923899,0.99999969292415,0.9497133978785346
16,16,0.2,,0.7,9,1,3,2,0.21515640759841695,0.4524262375097723,0.00007454657707033183
16,16,0.2,,0.7,9,1,4,1,0.3663248820981122,0.04113815917268064,1.3586605384600214e-12
16,16,0.2,,0.7,9,1,5,0,0.3276017693857455,0.09877783270561345,0.19721686864641827
16,16,0.2,,0.7,1,9,0,5,0.32760176938574564,0.09877783270561363,0.1141636086283083
16,16,0.2,,0.7,1,9,1,4,0.36632488209811187,0.041138159172680586,0.4505126768515261
16,16,0.2,,0.7,1,9,2,3,0.2151564075984164,0.4524262375097743,0.6772641672976931
16,16,0.2,,0.7,1,9,3,2,0.6331434069923897,0.99999969292415,0.000011615012022424312
16,16,0.2,,0.7,1,9,4,1,0.5871017637479887,0.19144275797195132,2.563977018360812e-12
16,16,0.2,,0.7,1,9,5,0,0.6020353650413922,0.2022883231063305,0.3501734637233639
16,16,0.2,,0.9,9,1,0,5,0.6020353650413921,0.20228832310632888,6.3449705695661e-26
16,16,0.2,,0.9,9,1,1,4,0.587101763747989,0.19144275797195182,6.616357774375695e-16
16,16,0.2,,0.9,9,1,2,3,0.6331434069923899,0.99999969292415,0.000001712610050130863
16,16,0.2,,0.9,9,1,3,2,0.21515640759841695,0.4524262375097723,0.3226600648205551
16,16,0.2,,0.9,9,1,4,1,0.3663248820981122,0.04113815917268064,0.5494873231471153
16,16,0.2,,0.9,9,1,5,0,0.3276017693857455,0.09877783270561345,0.6886195227252734
16,16,0.2,,0.9,1,9,0,5,0.32760176938574564,0.09877783270561363,3.5734724558456287e-26
16,16,0.2,,0.9,1,9,1,4,0.36632488209811187,0.041138159172680586,3.3847091322195356e-16
16,16,0.2,,0.9,1,9,2,3,0.2151564075984164,0.4524262375097743,0.0000012213046821267296
