,subject_id,student_idx,block_type,trial_num,true_theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood
0,A19F9CLZ0XWBYR,0,nonSeqPartial,0,0.3,1,9,A,10,40,0.18,0.12,0.0,0.1,yes
1,A19F9CLZ0XWBYR,1,nonSeqFull,0,0.3,9,1,B,3,7,0.60,0.3,0.0,0.1,yes
2,A19F9CLZ0XWBYR,2,nonSeqPartial,0,0.7,1,9,A,7,3,0.40,0.29999999999999993,0.0,0.1,yes
3,A19F9CLZ0XWBYR,3,seqFeedback,0,0.3,9,1,B,15,30,0.44,,,0.1,yes
4,A19F9CLZ0XWBYR,3,seqFeedback,1,0.3,9,1,B,20,50,0.35,0.04999999999999999,0.0,0.1,yes
5,A19F9CLZ0XWBYR,4,nonSeqPartial,0,0.3,9,1,B,15,25,0.48,0.18,0.0,0.1,yes
6,A19F9CLZ0XWBYR,5,nonSeqFull,0,0.7,1,9,A,5,20,0.17,0.5299999999999999,0.0,0.1,yes
7,A19F9CLZ0XWBYR,6,seqNoFeedback,0,0.3,1,9,A,10,40,,,,0.1,yes
8,A19F9CLZ0XWBYR,6,seqNoFeedback,1,0.3,1,9,A,10,40,0.19,0.10999999999999999,0.0,0.1,yes
9,A19F9CLZ0XWBYR,7,nonSeqPartial,0,0.7,9,1,B,25,50,0.40,0.29999999999999993,0.0,0.1,yes
10,A19F9CLZ0XWBYR,7,nonSeqPartial,0,0.7,9,1,B,19,30,0.47,0.22999999999999998,0.0,0.1,yes
11,A19F9CLZ0XWBYR,8,seqNoFeedback,0,0.7,9,1,B,20,40,,,,0.1,yes
12,A19F9CLZ0XWBYR,8,seqNoFeedback,1,0.7,9,1,B,20,30,0.41,0.29,0.0,0.1,yes
13,A19F9CLZ0XWBYR,9,seqFeedback,0,0.7,9,1,B,7,3,0.80,,,0.1,yes
14,A19F9CLZ0XWBYR,9,seqFeedback,1,0.7,9,1,B,1,70,0.19,0.51,0.0,0.1,yes
15,A19F9CLZ0XWBYR,9,seqFeedback,1,0.7,9,1,B,0,0,0.80,0.10000000000000009,0.0,0.1,yes
16,A19F9CLZ0XWBYR,10,nonSeqFull,0,0.7,9,1,B,40,20,0.70,0.0,0.1,0.1,yes
17,A19F9CLZ0XWBYR,11,seqFeedback,0,0.3,1,9,A,13,40,0.22,,,0.1,yes
18,A19F9CLZ0XWBYR,11,seqFeedback,1,0.3,1,9,A,20,40,0.28,0.019999999999999962,0.0,0.1,yes
19,A19F9CLZ0XWBYR,12,seqFeedback,0,0.7,1,9,A,20,10,0.53,,,0.1,yes
20,A19F9CLZ0XWBYR,12,seqFeedback,1,0.7,1,9,A,50,20,0.65,0.04999999999999993,0.0,0.1,yes
21,A19F9CLZ0XWBYR,13,seqNoFeedback,0,0.3,9,1,B,10,30,,,,0.1,yes
22,A19F9CLZ0XWBYR,13,seqNoFeedback,1,0.3,9,1,B,10,30,0.32,0.020000000000000018,0.0,0.1,yes
23,A19F9CLZ0XWBYR,14,seqNoFeedback,0,0.7,1,9,A,40,15,,,,0.1,yes
24,A19F9CLZ0XWBYR,14,seqNoFeedback,1,0.7,1,9,A,30,10,0.68,0.019999999999999907,0.0,0.1,yes
25,A19F9CLZ0XWBYR,15,nonSeqFull,0,0.3,1,9,A,20,50,0.26,0.03999999999999998,0.0,0.1,yes
26,A19X8IA9EKC3XH,0,seqFeedback,0,0.7,1,9,A,30,9,0.63,,,1.26,yes
27,A19X8IA9EKC3XH,0,seqFeedback,1,0.7,1,9,A,10,1,0.68,0.019999999999999907,0.2,1.26,yes
28,A19X8IA9EKC3XH,1,nonSeqPartial,0,0.7,9,1,B,15,4,0.83,0.13,0.0,1.26,yes
29,A19X8IA9EKC3XH,2,nonSeqPartial,0,0.3,1,9,A,4,20,0.15,0.15,0.0,1.26,yes
30,A19X8IA9EKC3XH,3,nonSeqPartial,0,0.3,9,1,B,7,30,0.34,0.040000000000000036,0.33,1.26,yes
31,A19X8IA9EKC3XH,4,seqNoFeedback,0,0.7,9,1,B,40,8,,,,1.26,yes
