,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,n_attention_passed,total_ex,mean,normalized_mean,normalized_theta
34,A11BACV6DY5S8M,6,seqNoFeedback,0,0.3,1,9,A,2,1,,,,5.24,yes,3,3,0.6666666666666666,0.6666666666666666,0.3
35,A11BACV6DY5S8M,6,seqNoFeedback,1,0.3,1,9,A,2,1,0.31,0.010000000000000009,0.64,5.24,yes,3,3,0.6666666666666666,0.6666666666666666,0.3
36,A11BACV6DY5S8M,7,seqFeedback,0,0.3,1,9,A,2,1,0.23,,,5.24,yes,3,3,0.6666666666666666,0.6666666666666666,0.3
37,A11BACV6DY5S8M,7,seqFeedback,1,0.3,1,9,A,2,1,0.31,0.010000000000000009,0.64,5.24,yes,3,3,0.6666666666666666,0.6666666666666666,0.3
38,A11BACV6DY5S8M,8,nonSeqPartial,0,0.3,9,1,B,3,1,0.86,0.56,0.0,5.24,yes,3,4,0.75,0.25,0.7
39,A11BACV6DY5S8M,9,nonSeqFull,0,0.3,9,1,B,0,16,0.35,0.04999999999999999,0.54,5.24,yes,3,16,0.0,1.0,0.7
40,A11BACV6DY5S8M,10,seqNoFeedback,0,0.7,9,1,B,16,0,,,,5.24,yes,3,16,1.0,0.0,0.3
41,A11BACV6DY5S8M,10,seqNoFeedback,1,0.7,9,1,B,16,0,0.98,0.28,0.0,5.24,yes,3,16,1.0,0.0,0.3
42,A11BACV6DY5S8M,11,nonSeqPartial,0,0.7,9,1,B,20,0,0.97,0.27,0.0,5.24,yes,3,20,1.0,0.0,0.3
43,A11BACV6DY5S8M,12,nonSeqFull,0,0.3,1,9,A,2,1,0.23,0.06999999999999998,0.67,5.24,yes,3,3,0.6666666666666666,0.6666666666666666,0.3
44,A11BACV6DY5S8M,13,nonSeqPartial,0,0.3,1,9,A,2,1,0.23,0.06999999999999998,0.67,5.24,yes,3,3,0.6666666666666666,0.6666666666666666,0.3
45,A11BACV6DY5S8M,14,nonSeqPartial,0,0.7,1,9,A,20,0,0.70,0.0,0.5,5.24,yes,3,20,1.0,1.0,0.7
46,A11BACV6DY5S8M,15,seqNoFeedback,0,0.3,9,1,B,2,1,,,,5.24,yes,3,3,0.6666666666666666,0.33333333333333337,0.7
47,A11BACV6DY5S8M,15,seqNoFeedback,1,0.3,9,1,B,2,1,0.81,0.51,0.0,5.24,yes,3,3,0.6666666666666666,0.33333333333333337,0.7
