,subject_id,student_idx,block_type,trial_num,true_theta,student_a,student_b,student_class,heads,tails,student_guess,delta
194,A1DZMZTXWOM9MR,9,nonSeqPartial,0,0.8,4,1,B,4,1,0.8,0.0
195,A1DZMZTXWOM9MR,10,seqFeedback,0,0.8,1,4,A,4,1,0.5,
196,A1DZMZTXWOM9MR,10,seqFeedback,1,0.8,1,4,A,8,1,0.6842105263157895,0.11578947368421055
197,A1DZMZTXWOM9MR,11,nonSeqFull,0,0.8,2,8,C,4,4,0.3333333333333333,0.46666666666666673
198,A1DZMZTXWOM9MR,12,seqFeedback,0,0.2,8,2,D,2,5,0.5882352941176471,
199,A1DZMZTXWOM9MR,12,seqFeedback,1,0.2,8,2,D,1,7,0.44,0.24
200,A1DZMZTXWOM9MR,13,nonSeqFull,0,0.5,2,8,C,4,4,0.3333333333333333,0.16666666666666669
201,A1DZMZTXWOM9MR,14,seqNoFeedback,0,0.2,2,8,C,3,5,,
202,A1DZMZTXWOM9MR,14,seqNoFeedback,1,0.2,2,8,C,3,5,0.3076923076923077,0.1076923076923077
203,A1DZMZTXWOM9MR,15,seqFeedback,0,0.2,1,4,A,3,7,0.26666666666666666,
204,A1DZMZTXWOM9MR,15,seqFeedback,1,0.2,1,4,A,2,8,0.24,0.03999999999999998
205,A1DZMZTXWOM9MR,16,nonSeqPartial,0,0.5,4,1,B,3,3,0.6363636363636364,0.13636363636363635
206,A1DZMZTXWOM9MR,17,seqNoFeedback,0,0.8,4,1,B,8,2,,
207,A1DZMZTXWOM9MR,17,seqNoFeedback,1,0.8,4,1,B,12,3,0.8,0.0
208,A1DZMZTXWOM9MR,18,nonSeqFull,0,0.2,8,2,D,2,8,0.5,0.3
209,A1DZMZTXWOM9MR,19,nonSeqFull,0,0.5,1,4,A,2,8,0.2,0.3
210,A1DZMZTXWOM9MR,20,seqFeedback,0,0.5,1,4,A,5,5,0.4,
211,A1DZMZTXWOM9MR,20,seqFeedback,1,0.5,1,4,A,4,6,0.4,0.09999999999999998
212,A1DZMZTXWOM9MR,21,nonSeqPartial,0,0.8,8,2,D,12,3,0.8,0.0
213,A1DZMZTXWOM9MR,22,nonSeqPartial,0,0.5,8,2,D,4,4,0.6666666666666666,0.16666666666666663
214,A1DZMZTXWOM9MR,23,seqFeedback,0,0.5,8,2,D,7,5,0.6818181818181818,
215,A1DZMZTXWOM9MR,23,seqFeedback,1,0.5,8,2,D,7,7,0.6111111111111112,0.11111111111111116
216,A248QG4DPULP46,0,seqFeedback,0,0.5,2,8,C,6,6,0.36363636363636365,
217,A248QG4DPULP46,0,seqFeedback,1,0.5,2,8,C,10,10,0.42857142857142855,0.07142857142857145
218,A248QG4DPULP46,1,nonSeqFull,0,0.5,2,8,C,15,15,0.425,0.07500000000000001
219,A248QG4DPULP46,2,seqNoFeedback,0,0.2,8,2,D,5,15,,
220,A248QG4DPULP46,2,seqNoFeedback,1,0.2,8,2,D,3,20,0.3018867924528302,0.10188679245283017
221,A248QG4DPULP46,3,nonSeqFull,0,0.8,4,1,B,10,2,0.8235294117647058,0.0235294117647058
222,A248QG4DPULP46,4,nonSeqPartial,0,0.5,8,2,D,15,15,0.575,0.07499999999999996
223,A248QG4DPULP46,5,seqFeedback,0,0.8,8,2,D,15,2,0.8518518518518519,
224,A248QG4DPULP46,5,seqFeedback,1,0.8,8,2,D,2,15,0.5681818181818182,0.2318181818181818
225,A248QG4DPULP46,6,nonSeqPartial,0,0.2,2,8,C,2,15,0.14814814814814814,0.05185185185185187
226,A248QG4DPULP46,7,nonSeqPartial,0,0.8,1,4,A,16,3,0.7083333333333334,0.09166666666666667
227,A248QG4DPULP46,8,seqFeedback,0,0.5,4,1,B,8,8,0.5714285714285714,
